GANHWA,HANUH,KOREAN,
~라고 부르다,叫,jia4o,
무엇,什么,she2nme,
이름,名字,mi2ngzi,
너는?,你呢,ni3ne,
(사람을)알다,认识,re4nshi,
매우,很,he3n,
기쁘다,高兴,ga1oxi4ng,
~도 또한,也,ye3,
찾다,找,zha3o,
휴대전화,手机,sho3uji1,
사랑하다,爱,a4i,
바쁘다,忙,ma2ng,
그 여자,她,ta1,
예쁘다,漂亮,pia4oliang,
성씨(존칭),贵姓,gui4xi4ng,
그 남자,他,ta1,
~이다,是,shi4,
어느,哪,na3,
사람,人,re2n,
한국,韩国,ha2nguo2,
~입니까,吗,ma,
중국,中国,zho1ngguo2,
미국,美国,me3iguo2,
외국,外国,wa4iguo2,
학생,学生,xue2sheng,
배고프다,饿,e4,
피곤하다,累,le4i,
즐겁다,开心,ka1ixi1n,
브라질,巴西,ba1xi1,
인도,印度,yi4ndu4,
스페인,西班牙,xi1ba1nya1,
이탈리아,意大利,yi4da4li4,
독일,德国,de2guo2,
일본,日本,ri4be3n,
프랑스,法国,fa3guo2,
